id_usuario,horas_ouvidas_rock,horas_ouvidas_samba,horas_ouvidas_pop,horas_ouvidas_rap
1,20,45,21,35
2,29,25,8,47
3,19,8,20,16
4,12,39,12,38
5,34,27,7,3
6,29,45,15,15
7,36,33,10,43
8,28,12,3,23
9,39,20,31,20
10,34,10,35,11
11,39,3,46,11
12,14,22,10,29
13,50,37,20,27
14,17,31,32,14
15,0,2,33,40
16,43,18,2,48
17,21,2,13,31
18,47,40,35,37
19,2,19,40,14
20,41,24,49,15
21,43,46,37,37
22,11,28,33,46
23,7,20,43,38
24,15,11,38,42
25,6,32,10,0
26,37,24,33,15
27,39,15,22,40
28,37,23,2,36
29,31,1,38,29
30,3,40,15,31
31,50,36,35,6
32,27,2,29,14
33,0,42,32,47
34,5,42,22,43
35,23,22,3,24
36,36,46,25,32
37,50,18,45,49
38,8,35,49,40
39,14,1,11,33
40,1,6,37,22
41,12,16,11,36
42,34,21,45,32
43,40,1,37,47
44,47,11,5,44
45,34,47,41,14
46,5,21,6,34
47,25,13,3,1
48,33,21,24,22
49,43,44,29,15
50,18,5,37,46
51,13,2,20,39
52,23,16,37,16
53,23,43,22,39
54,3,24,23,28
55,37,43,27,19
56,31,25,28,26
57,46,48,15,49
58,44,17,44,42
59,32,22,4,10
60,36,1,45,16
61,11,8,29,37
62,50,42,37,34
63,18,28,29,16
64,43,6,9,48
65,12,49,9,10
66,10,16,23,41
67,9,8,11,16
68,11,3,49,4
69,46,19,28,41
70,2,24,9,29
71,41,15,6,14
72,50,50,9,8
73,22,9,10,1
74,42,48,48,11
75,18,37,2,14
76,15,17,13,18
77,1,29,15,31
78,21,37,4,4
79,50,6,12,5
80,1,13,44,0
81,45,1,44,38
82,38,8,14,7
83,17,39,50,14
84,3,42,8,45
85,16,37,40,0
86,38,47,41,31
87,21,50,27,40
88,16,6,35,19
89,42,36,0,33
90,3,31,39,49
91,28,32,48,12
92,47,3,37,35
93,2,18,35,10
94,17,10,42,50
95,23,9,16,3
96,17,3,25,50
97,5,29,34,15
98,14,46,28,17
99,38,45,41,35
100,10,40,28,32
101,36,37,9,38
102,38,26,5,14
103,30,17,13,37
104,48,17,18,37
105,24,1,14,18
106,6,49,32,21
107,36,3,2,43
108,4,23,13,39
109,50,45,44,19
110,43,33,50,19
111,25,23,30,28
112,49,10,11,6
113,27,50,10,18
114,3,10,37,30
115,38,34,19,27
116,39,48,31,20
117,38,11,1,11
118,37,10,9,47
119,4,0,11,39
120,29,3,12,14
121,38,1,42,10
122,27,47,46,11
123,9,36,49,2
124,2,48,32,49
125,12,16,17,43
126,7,3,12,42
127,10,35,0,37
128,32,22,11,14
129,19,11,24,44
130,39,3,30,23
131,31,9,28,36
132,48,32,4,47
133,41,16,1,26
134,1,8,46,29
135,39,30,48,50
136,37,11,41,2
137,40,28,11,45
138,8,8,26,33
139,27,42,29,41
140,13,45,40,11
141,22,39,40,26
142,46,48,36,16
143,4,36,2,35
144,24,29,32,6
145,36,14,43,50
146,24,42,20,28
147,29,9,39,7
148,5,25,31,20
149,7,38,21,2
150,46,6,18,2
151,4,24,45,3
152,17,22,46,25
153,8,9,40,37
154,40,5,2,33
155,40,18,30,41
156,4,33,41,32
157,20,1,26,28
158,46,30,36,24
159,4,20,4,10
160,30,15,21,18
161,26,33,42,30
162,31,17,50,22
163,43,29,29,45
164,42,13,50,23
165,5,41,19,13
166,39,30,5,9
167,39,4,41,32
168,33,43,50,48
169,26,25,3,49
170,20,17,40,31
171,31,21,49,45
172,31,24,8,21
173,33,13,20,8
174,10,12,28,46
175,6,11,16,27
176,48,3,19,25
177,14,48,32,29
178,6,27,4,18
179,3,36,43,37
180,26,11,1,43
181,35,38,24,24
182,20,27,42,19
183,20,49,45,0
184,21,9,40,29
185,5,21,49,39
186,45,48,41,43
187,17,11,39,29
188,41,12,42,9
189,50,16,29,11
190,1,7,7,4
191,33,18,40,18
192,21,14,26,24
193,8,12,0,33
194,39,15,25,46
195,9,43,28,30
196,0,13,1,38
197,48,1,19,39
198,37,42,42,26
199,42,9,47,15
200,32,6,25,7
201,32,4,39,16
202,44,11,31,13
203,11,9,19,48
204,0,20,33,50
205,15,43,7,10
206,44,43,13,26
207,29,42,36,13
208,12,43,38,28
209,36,11,10,12
210,0,35,1,18
211,0,39,11,16
212,4,40,20,48
213,22,6,15,13
214,38,16,1,13
215,22,3,17,14
216,49,13,14,22
217,10,36,2,33
218,23,16,11,32
219,1,24,32,7
220,34,39,48,48
221,49,50,0,11
222,25,16,18,41
223,48,19,48,35
224,34,35,4,21
225,50,15,22,28
226,37,20,18,5
227,13,28,47,25
228,15,13,48,39
229,44,32,49,16
230,10,4,41,20
231,19,16,46,23
232,13,16,3,21
233,15,12,29,49
234,22,12,45,27
235,27,46,34,0
236,7,33,33,1
237,18,42,50,11
238,26,23,47,7
239,19,7,36,15
240,39,37,41,36
241,3,42,49,14
242,15,30,26,7
243,39,28,26,23
244,12,6,48,7
245,23,7,27,1
246,28,2,35,6
247,49,30,0,34
248,25,33,13,32
249,3,29,23,32
250,47,22,31,42
251,19,10,36,38
252,6,28,49,37
253,2,45,50,28
254,34,16,46,12
255,19,15,28,0
256,16,20,49,22
257,3,39,30,10
258,3,6,40,35
259,20,35,7,9
260,28,43,38,26
261,30,41,24,47
262,49,42,19,10
263,4,30,31,48
264,22,48,27,23
265,24,10,18,43
266,5,23,15,24
267,44,35,43,45
268,26,7,21,9
269,47,48,28,44
270,48,34,15,41
271,12,33,18,39
272,0,15,26,43
273,0,17,35,13
274,40,21,50,42
275,8,41,29,34
276,23,44,37,16
277,10,4,46,21
278,24,8,6,42
